country,host_uni,ntu_code,ntu_name,ntu_type,foreign_code,foreign_name,au,status,year,sem,assessment,contact_hours,credits,comments,coordinator_remarks,staff,url,syllabus,textbooks
CHINA,Tsinghua University,BC3408,DECISION MODELLING & ANALYSIS,Major-PE,70160513,Introduction to Decision Making,4,Approved,2023,1,Homework + Exam + Course project,48,3,NA,,ZHAO Lei ( lzhao@tsinghua.edu.cn ),,[Description] Introduce the fundamentals of operation research (OR) modeling and solution methods as well as basics of probability and applied statistics. [Syllabus] Mathematical programming: Introduction to Operations Research Introduction to Spreadsheet Modeling Linear Programming Network Optimization Integer Programming (Optional) Dynamic Programming Probability and statistics: Introduction to probability theory Random variables Basic statistics,"Winston, Wayne L. and S. Christian Albright, Practical Management Science. Revised, 3nd Ed. Cengage Learning, 2008. Hillier, Frederick S. and Gerald J. Lieberman, Introduction to Operations Research. 8th Ed. McGraw Hill, 2005 (Authorized Reprint Edition by Tsinghua University Press). Winston, Wayne L. and S. Christian Albright. Practical Management Science. Revised, 3nd Ed. Cengage Learning. Hillier, Frederick S. and Gerald J. Lieberman. Introduction to Operations Research. 8th Ed?(Authorized Reprint Edition by Tsinghua University Press). McGraw Hill."
CHINA,Tsinghua University,BDE,BDE,BDE,00692402,Chinese Calligraphy ?Copying and Production,2,Approved,2024,2,Daily creative practices + final exam,32,2,spring 2025,,??? ( zcy435@mail.tsinghua.edu.cn ),,"This course first teaches the basic techniques of Chinese calligraphy, including the brushwork, calligraphy, composition, etc. of Chinese calligraphy. Starting with seal script and official script, students are taught to copy and learn important calligraphy works, and initially learn to create calligraphy works. Secondly, this course teaches students to understand the concepts and categories of traditional Chinese aesthetics among techniques, so that everyone can realize the inner spirit of traditional Chinese culture and consciously shoulder the responsibility of inheriting Chinese civilization. This class requires calligraphy homework to be handed in every day, which will be used to calculate your daily grades. Students with heavy academic load should choose carefully. 1. This course is aimed at students who are new to calligraphy and provides enlightenment teaching in calligraphy. If you have practiced calligraphy for many years or are a calligraphy major, please drop the class voluntarily and give the class capacity to other students who need it more. Starting from the first class, each class has new technical content. Students who choose the class can consciously practice it every day and write daily calligraphy lessons (otherwise they may not be able to keep up). The final course grade is obtained by taking daily creative classes + final exam (writing specified content in class). 3. Inscriptions needed for copying exercises in class. You will study the following types of copybooks this semester. Please be sure to buy them in advance according to the versions I specified: (1) ""Yishan Monument"", Beijing: China Bookstore, 2012 edition (subsequently printed many times)"" This version. Because you need to copy, this version is suitable. It is required from the 1st to the 4th week. (2) Qiu Zhenzhong and Chen Zheng, editor: ""Wu Changshuo's Stone Drum Essay"", Jiangxi Fine Arts Publishing House, 2013 (later printed many times) (3) Editor-in-chief Zhao Hong: ""Two Types of Wu Changshuo's Seal Script and Stone Drum Script"", Beijing: China Bookstore, 2018 (later printed many times) (4) Editor-in-Chief Sun Baowen: ""Shiguwen (Color Enlarged Edition)"", Shanghai: Shanghai Dictionary Publishing House, 2013 (later printed many times) (2) (3) One of the two is enough, (4) is essential, required from the 4th to 8th week. (5) ""Yi Ying Monument"", Shanghai: Shanghai Painting and Calligraphy Publishing House, 2012 (later printed many times). Required for weeks 9 to 12 (6) ""Zhang Menglong Monument"", Shanghai: Shanghai Painting and Calligraphy Publishing House, 2012 (later printed many times) required for weeks 13-16. Although calligraphy is trivial, it has the highest moral character. Calligraphy embodies the essence of Chinese culture. Only by cultivating the body and mind can one improve his aesthetics. I wish the students good health and success in their studies!",mentioned in course content
CHINA,Tsinghua University,BDE,BDE,BDE,30510053,Econometrics,3,Approved,2024,2,NA,48,3,Will take this course in 2025 Spring if available,,Yuan XU ( xuyuan@sem.tsinghua.edu.cn ),https://masonabroad.gmu.edu/_customtags/ct_FileRetrieve.cfm?File_ID=01067577744F07060C06717305061C70097A7714737D73046E07030406777402750005737004060001,"This course is an introduction to econometrics. It introduces students to multiple regression methods for analyzing the relationship between two or more economic variables. It starts from the simple linear regression to multivariate regression, regression with discrete random variables, instrumental variables, and to regression with panel data, time series data. The objective is to help students understand, evaluate and conduct empirical studies in economics and related disciplines.",NA
CHINA,Tsinghua University,BDE,BDE,BDE,30510732,General Management,2,Approved,2024,2,NA,32,2,Available in 2025 Spring,,Yan Liuxin ( yanlx@sem.tsinghua.edu.cn ),https://www.tsinghua.edu.cn/en/pdf/2018-2019UndergraduateEnglishTaughtCourses.pdf,"Organizations are all around us in society: we study in them, work for them, rely on them for goods and services, and we are often regulated and highly influenced by them. Understanding the management of organizations, therefore, is the key to becoming more effective actors of the organizations we are or will be part of. We will cover three traditional functions of management: planning, organizing, and leading. Overall, this course offers a comprehensive perspective for those interested in management and organizations. By the end of the course, you will achieve the following: 1 Be familiar with key principles of management and organizations. 2 Develop analytical skills in the diagnosis of organizational & managerial (in)effectiveness. 3 Be able to apply basic principles of management to real-world practices.",NA
CHINA,Tsinghua University,BDE,BDE,BDE,30510812,Marketing Management,2,Approved,2024,2,NA,32,2,To take the course in 2025 Spring Semester if available,,LIU Xi ?? ( liuxi@sem.tsinghua.edu.cn ),https://masonabroad.gmu.edu/_customtags/ct_FileRetrieve.cfm?File_ID=01067577744F07060C06717305061C70097A7714737D73046E07030406777402750005737004060001,"Marketing is the core of an operating business, and also the management process through which goods and services move from concept to the customer. Marketing is based on thinking about the business in terms of customer needs and their satisfaction. Marketing differs from selling because it has less to do with getting customers to pay for your product as it does developing a demand for that product and fulfilling the customer's needs. Marketing entails planning and executing the conception, pricing, promotion, and distribution of ideas, goods, and services. It starts with identifying and measuring consumers' needs and wants, assessing the competitive environment, selecting the most appropriate customer targets and developing marketing strategy and implementation program for an offering that satisfies consumers' needs better than the competition. Marketing is the art and science of creating customer value and market place exchanges that benefit the organization and its stakeholders. The objective of this course is to introduce students to the concepts, analyses, and activities that comprise marketing management, and to provide practice in assessing and solving marketing problems. The course is also a foundation for advanced electives in marketing as well as other business/social science disciplines. We will explore the theory and applications of marketing concepts through a mix of cases, discussions, lectures, guest speakers, individual assignments, and group projects. We will draw materials from a variety of sources and settings including services, consumer and business-to- business products",NA
CHINA,Tsinghua University,BDE,BDE,BDE,30510863,Development Economics,4,Approved,2024,2,NA,48,3,Available in 2025 Spring,,??? Shi Xinzhen ( shixzh@sem.tsinghua.edu.cn ),https://www.tsinghua.edu.cn/en/pdf/2018-2019UndergraduateEnglishTaughtCourses.pdf,"Development economics is a course involving economic problems and policies of those countries that have not yet reached the level of economic well being observed in the western world. At the completion of this course, students will be familiar with theories of development and their applications in the real world. Students will have a better understanding of a number of topics that shed light on the development process, including poverty, inequality, education, international trade, the role of the government, and population issues. Students will also be trained to conduct their own research by using theories learned in class and analyzing real world data. They will also present their research results in class, which can improve their ability of public speaking and intellectual interactions.",NA
CHINA,Tsinghua University,BDE,BDE,BDE,30510973,Econometrics (1),4,Approved,2024,2,Textbooks and reference books,48,3,Available in 2025 Spring,,"Feng Yingjie, Liu Chenyuan ( fengyj@sem.tsinghua.edu.cn )",,"This course is designed for undergraduate students in economics, finance, and management who want to take an introductory-level course in econometrics and lay down the foundation for quantitative analysis in economics, finance and other social sciences. It offers a systematic training in modern econometrics techniques, including estimation and inference in the classical regression framework, estimation and inference when the classical assumptions are violated (heteroskedasticity, serial correlation, endogeneity, etc.), and nonlinear models (probit and logit). Topics on stationary and non-stationary time series analysis will be covered in a subsequent course (Introductory Econometrics II). This course also provides an introduction to the statistical software Stata.","Introductory Econometrics: A Modern Approach, by Jeffrey M. Wooldridge, 6th or 7th edition."
CHINA,Tsinghua University,BDE,BDE,BDE,30511053,Corporate Finance,4,Approved,2024,2,1.?????? 2.?????4???20%? 3.???? ?20%? 4.???? ?60%?,48,3,Spring semester,,?? ( shentao@sem.tsinghua.edu.cn ),https://www.tsinghua.edu.cn/en/pdf/2018-2019UndergraduateEnglishTaughtCourses.pdf,"Firms compete in Consumer & Business Markets to sell their products & services, and they also compete in Capital Markets for the resources required to operate their business. Investors provide the capital (resources) to companies with the expectation that they will earn a competitive return on their capital and compensate themfor risk. A consumer or business manager is continuously faced with financial choices and meeting the demands of both of these arenas of competition. For the consumer these choices include, among others, financing a purchase, saving for retirement and evaluating investment products. For a business manager the choices include deciding which projects to pursue and alternative approaches to provide funds for these projects. Finance is the study of a framework that can be used to evaluate these choices consistent with the necessity of competing for investor capital. Regardless of your ultimate career, a solid understanding of the fundamentals of finance, will serve you well.",NA
CHINA,Tsinghua University,BDE,BDE,BDE,40510333,Intermediate Financial Accounting(2),4,Approved,2024,2,"Quiz, Presentation, Exam",48,3,Available in 2025 Spring,,Wang Kun ( wangk@sem.tsinghua.edu.cn ),,"Course Objectives: 1. To understand the conceptual framework of accounting, the accounting principles and standards based on Generally Accepted Accounting Principles (GAAP) relating to valuation and reporting of liability and equity items. 2. To train you to apply these accounting principles and standards in data accumulation, summarization and reporting techniques. 3. To develop creative and deeper thinking and to develop the analytical skills required to use and interpret the accounting information and principles.",Session: 1. Course Introduction & Stockholders? Equity 2. Dilutive Securities and Earnings Per Share 3. Investments 4. Revenue Recognition 5. Accounting for Income Taxes 6. Mid-term Quiz 7. Accounting for Pensions 8. Accounting for Pensions (Cont?d) 9. Accounting for Leases 10. Guest Speech 11. Public Holiday 12. Reporting accounting changes and errors 13. Statement of Cash flows 14. Full disclosure 15. Group Project presentation 16. Final Exam
CHINA,Tsinghua University,BDE,BDE,BDE,40510682,Social Insurance,2,Approved,2024,2,"Case study drafts and final report , Presentations",32,2,Spring 2025,,Feng Runhuan ( fengrh@sem.tsinghua.edu.cn ),,"The demand for social welfare protection in modern society has arisen with the development of the industrial revolution. From personal fulfillment to national economic development, social insurance is a critical component of everyone?s personal life in the modern society and everyone assumes certain rights and responsibilities for social insurance programs.This course explains the emergence, development, and design of social insurance systems from the industrial revolution to the modern society. The course discussesthe insurance protection needs of the society as a whole, discussing many benefit programs designed to reduce economic uncertainty, including social security, health insurance, workers' compensation, unemployment compensation, and disability insurance. We discuss principles, features, and policy issues related to social insurance and public assistance programs. Case Study Report Requirements: 1.Group Composition: - Students must form groups of five or six members. - Each group may designate one or two presenters for their case study presentation. 2.Report Submission: - Each group is required to submit one case study report. - The report must not exceed 20 pages, using a font size of 12. - Reports can be written in either English or Chinese. However, all presentations and handouts must be in English. 3. Report Quality: - Reports will be evaluated based on professionalism, clarity, and overall quality. - The inclusion of infographics, visualizations, and other illustrative elements is encouraged, as these often contribute to higher-quality submissions. 4. Presentation Guidelines: - Each group will deliver a 30-minute presentation, followed by a 15- minute discussion session. - Prior to each presentation, groups must distribute pre-reads or fact- sheets to their classmates to facilitate engagement and understanding. 5. Class Participation: - Throughout the semester, each group is expected to ask at least three questions during other groups? presentations or discussions. 6.Contributions Section: - Every report must include a dedicated section outlining the contributions of each group member (i.e., who was responsible for which tasks)","M. Dalton, J. Dalton (2022) Retirement Planning and Employee Benefits, 18th Edition, Money Education.G. E. Rejda (2012) Social Insurance and Economic Security. 7thEdition, Routledge, Taylor & Francis Group, London and New Year"
